q1,q2,edgeNum,pathwayNumber,ShortestPath,RunningTime
cpd:C00681,ko:K10524,9,8,"[(cpd:C00681 : cpd:C00416)- (cpd:C00416 : ko:K00889)- (ko:K00889 : ko:K00888 ko:K13711)- (ko:K00888 ko:K13711 : ko:K01114 ko:K16619)- (ko:K01114 ko:K16619 : path:ko00260)- (path:ko00260 : ko:K03334)- (ko:K03334 : path:ko00960)- (path:ko00960 : ko:K01240)- (ko:K01240 : ko:K10524)]",5.819505,
ko:K10524,cpd:C00681,13,10,"[(ko:K10524 : ko:K03742 ko:K03743)- (ko:K03742 ko:K03743 : ko:K01513)- (ko:K01513 : path:ko00010)- (path:ko00010 : ko:K01834 ko:K01837)- (ko:K01834 ko:K01837 : ko:K03103)- (ko:K03103 : ko:K01106)- (ko:K01106 : ko:K01116 ko:K05857 ko:K05858 ko:K05859 ko:K05860 ko:K05861)- (ko:K01116 ko:K05857 ko:K05858 ko:K05859 ko:K05860 ko:K05861 : ko:K01110)- (ko:K01110 : cpd:C05981)- (cpd:C05981 : cpd:C04637)- (cpd:C04637 : cpd:C00641)- (cpd:C00641 : cpd:C01885)- (cpd:C01885 : cpd:C00681)]",6.921735,
ko:K00166 ko:K00167 ko:K11381,cpd:C02918,13,9,"[(ko:K00166 ko:K00167 ko:K11381 : ko:K00382)- (ko:K00382 : ko:K00163 ko:K00161 ko:K00162)- (ko:K00163 ko:K00161 ko:K00162 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : cpd:C00022)- (cpd:C00022 : cpd:C00024)- (cpd:C00024 : cpd:C00149)- (cpd:C00149 : cpd:C00048)- (cpd:C00048 : cpd:C00037)- (cpd:C00037 : cpd:C00051)- (cpd:C00051 : cpd:C00127)- (cpd:C00127 : cpd:C00006)- (cpd:C00006 : cpd:C00153)- (cpd:C00153 : cpd:C02918)]",7.510781,
ko:K03852,ko:K00940 ko:K18533,6,4,"[(ko:K03852 : ko:K00925)- (ko:K00925 : ko:K01895)- (ko:K01895 : ko:K03737)- (ko:K03737 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : ko:K00962)- (ko:K00962 : ko:K00940 ko:K18533)]",3.237967,
ko:K00940 ko:K18533,ko:K03852,4,4,"[(ko:K00940 ko:K18533 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : ko:K00158)- (ko:K00158 : ko:K13788 ko:K00625 ko:K15024)- (ko:K13788 ko:K00625 ko:K15024 : ko:K03852)]",1.452534,
ko:K00940 ko:K18533,ko:K03852,4,4,"[(ko:K00940 ko:K18533 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : ko:K00158)- (ko:K00158 : ko:K13788 ko:K00625 ko:K15024)- (ko:K13788 ko:K00625 ko:K15024 : ko:K03852)]",1.588193,
ko:K03852,ko:K00940 ko:K18533,6,4,"[(ko:K03852 : ko:K00925)- (ko:K00925 : ko:K01895)- (ko:K01895 : ko:K03737)- (ko:K03737 : ko:K00873 ko:K12406)- (ko:K00873 ko:K12406 : ko:K00962)- (ko:K00962 : ko:K00940 ko:K18533)]",3.748474,
cpd:C06587,ko:K00025 ko:K00026 ko:K00024,10,8,"[(cpd:C06587 : cpd:C00596)- (cpd:C00596 : cpd:C03589)- (cpd:C03589 : cpd:C00022)- (cpd:C00022 : cpd:C00024)- (cpd:C00024 : cpd:C00083)- (cpd:C00083 : ko:K08765 ko:K19523 ko:K19524)- (ko:K08765 ko:K19523 ko:K19524 : ko:K01897 ko:K15013)- (ko:K01897 ko:K15013 : path:ko00071)- (path:ko00071 : ko:K01647)- (ko:K01647 : ko:K00025 ko:K00026 ko:K00024)]",2.2888,
ko:K00273,cpd:C00219,12,8,"[(ko:K00273 : path:ko00630)- (path:ko00630 : path:ko00460)- (path:ko00460 : ko:K17103 ko:K00998)- (ko:K17103 ko:K00998 : ko:K00981)- (ko:K00981 : ko:K00901)- (ko:K00901 : ko:K01116 ko:K05857 ko:K05858 ko:K05859 ko:K05860 ko:K05861)- (ko:K01116 ko:K05857 ko:K05858 ko:K05859 ko:K05860 ko:K05861 : ko:K00922 ko:K02649)- (ko:K00922 ko:K02649 : cpd:C05981)- (cpd:C05981 : cpd:C04637)- (cpd:C04637 : cpd:C00641)- (cpd:C00641 : cpd:C00157)- (cpd:C00157 : cpd:C00219)]",8.304208,
ko:K01640,cpd:C05005,11,7,"[(ko:K01640 : path:ko00010)- (path:ko00010 : ko:K01834 ko:K01837)- (ko:K01834 ko:K01837 : ko:K03103)- (ko:K03103 : ko:K01106)- (ko:K01106 : ko:K00911)- (ko:K00911 : cpd:C00076)- (cpd:C00076 : ko:K02183)- (ko:K02183 : ko:K11029)- (ko:K11029 : undefinedpath:ko05133)- (undefinedpath:ko05133 : ko:K15125)- (ko:K15125 : cpd:C05005)]",12.278483,
